name,country,city,address,latitude,longitude,phone,website,rating,reviews_count,price_range,source
Oriental Restaurant,Bahrain,Muharraq,,26.1957237,50.6632418,,,,0,,openstreetmap
Saffron by Jena,Bahrain,Muharraq,,26.2499572,50.6102859,,,,0,,openstreetmap
Mei n Yu Restaurant Lounge,Bahrain,Muharraq,,26.2897325,50.6633525,,,,0,,openstreetmap
Tika Tren Tren,Bahrain,Muharraq,,26.2570049,50.6335853,,,,0,,openstreetmap
My Kitchen,Bahrain,Muharraq,,26.2995768,50.6631787,,,,0,,openstreetmap
DQ Grill and Chill,Bahrain,Muharraq,,26.2982815,50.6622619,,http://www.dqbahrain.com/,,0,,openstreetmap
Costa Coffee,Bahrain,Muharraq,,26.2983193,50.6623807,,,,0,,openstreetmap
Houseboat,Bahrain,Muharraq,,26.2888428,50.6629694,,,,0,,openstreetmap
Burger Lounge,Bahrain,Muharraq,,26.2884051,50.6628218,,,,0,,openstreetmap
Veranda,Bahrain,Muharraq,,26.2875971,50.6624839,,,,0,,openstreetmap
Al Forno,Bahrain,Muharraq,,26.2897037,50.6646565,,,,0,,openstreetmap
Pizza Express,Bahrain,Muharraq,,26.2893838,50.664855,,,,0,,openstreetmap
Noodle Factory,Bahrain,Muharraq,,26.2893189,50.664804,,,,0,,openstreetmap
Curry Tree,Bahrain,Muharraq,,26.2888379,50.6646618,,,,0,,openstreetmap
بلاد الشام,Bahrain,Muharraq,,26.2862071,50.6633154,,,,0,,openstreetmap
Casarecchio,Bahrain,Muharraq,,26.2885229,50.6644526,,,,0,,openstreetmap
Sumo,Bahrain,Muharraq,,26.2887538,50.6645653,,,,0,,openstreetmap
Moo-Yah!,Bahrain,Muharraq,,26.2887079,50.6645743,,,,0,,openstreetmap
فريج بن رشدان,Bahrain,Muharraq,Khalifa Al-Kabeer Highway,26.2612742,50.6229129,77300300.0,,,0,,openstreetmap
Lemon Cafe,Bahrain,Muharraq,,26.2897129,50.6641986,,,,0,,openstreetmap
مزاوي امواج لجون البحرين,Bahrain,Muharraq,,26.2890971,50.6638606,,,,0,,openstreetmap
السيف المحرق,Bahrain,Muharraq,,26.255943,50.6280267,,,,0,,openstreetmap
Dalyat Al-Bar Cafeteria,Bahrain,Muharraq,Avenue 17,26.2801776,50.6332551,,,,0,,openstreetmap
Frkal traditional food,Bahrain,Muharraq,,26.2818182,50.6326932,,,,0,,openstreetmap
امواج بحرين,Bahrain,Muharraq,,26.2879432,50.6629541,,,,0,,openstreetmap
مطبخ امي للاكلات الشعبية,Bahrain,Muharraq,,26.2502798,50.6082934,,,,0,,openstreetmap
Dunkin' Donuts,Bahrain,Muharraq,Sheikh Khalifa Bin Salman,26.2613614,50.6112124,,,,0,,openstreetmap
Hardee's,Bahrain,Muharraq,Sheikh Khalifa Bin Salman,26.2613731,50.6112674,,,,0,,openstreetmap
Pasta Express,Bahrain,Muharraq,Sheikh Khalifa Bin Salman,26.2614088,50.6114415,,,,0,,openstreetmap
Apple,Bahrain,Muharraq,Sheikh Khalifa Bin Salman,26.2615178,50.6121385,,,,0,,openstreetmap
Mega Burger,Bahrain,Muharraq,Shaikh Isa Avenue,26.2616179,50.6147684,,,,0,,openstreetmap
Red Mountain,Bahrain,Muharraq,Wali Al Alahed Avenue,26.2572118,50.6127269,,,,0,,openstreetmap
Najla Restaurant,Bahrain,Muharraq,607,26.2576615,50.615396,,,,0,,openstreetmap
Howar,Bahrain,Muharraq,Al Khalifa Avenue,26.2591484,50.6162243,,,,0,,openstreetmap
Bouchon,Bahrain,Muharraq,Al Khalifa Avenue,26.2607586,50.6154848,,,,0,,openstreetmap
Le Petit,Bahrain,Muharraq,Avenue 1,26.2625858,50.6167711,,,,0,,openstreetmap
Uruguay Cafeteria,Bahrain,Muharraq,Jamaldin Al Afghani Avenue,26.2581915,50.617378,,,,0,,openstreetmap
Ambel's,Bahrain,Muharraq,Jamaldin Al Afghani Avenue,26.2581161,50.6171758,,,,0,,openstreetmap
Qasr El-Nile Cafeteria,Bahrain,Muharraq,Al Khalifa Avenue,26.2565793,50.6168706,,,,0,,openstreetmap
Al Monasaq Grills,Bahrain,Muharraq,Al Khalifa Avenue,26.2565101,50.6168762,,,,0,,openstreetmap
تكه بوشنب,Bahrain,Muharraq,Al Khalifa Avenue,26.2552355,50.6176186,,,,0,,openstreetmap
Suha Falafil,Bahrain,Muharraq,Al Khalifa Avenue11,26.2543778,50.6181559,,,,0,,openstreetmap
Mleeta Cafeteria,Bahrain,Muharraq,Al Khalifa Avenue,26.2520221,50.6177552,,,,0,,openstreetmap
Bait Al Donut,Bahrain,Muharraq,Sheikh Khalifa Bin Salman,26.2615074,50.6112941,,,,0,,openstreetmap
Energy Fruit Juice,Bahrain,Muharraq,Al Khalifa Avenue,26.2584723,50.6162676,,,,0,,openstreetmap
Mearaj Express,Bahrain,Muharraq,Shaikh Isa Avenue,26.2621628,50.6148271,,,,0,,openstreetmap
Almadhag Alnnatie Restaurant,Bahrain,Muharraq,Shaikh Isa Avenue,26.2623645,50.6149659,,,,0,,openstreetmap
Khoosh Meshawi,Bahrain,Muharraq,Shaikh Isa Avenue,26.2626584,50.6150739,,,,0,,openstreetmap
Wingman,Bahrain,Muharraq,Avenue 1,26.2631497,50.6165627,,,,0,,openstreetmap
Ibn Hamedo,Bahrain,Muharraq,Jamaldin Al Afghani Avenue,26.2583456,50.6184547,,,,0,,openstreetmap
Pizza E Pasta,Bahrain,Muharraq,1006,26.2580534,50.6174267,,,,0,,openstreetmap
Taibat Banquets,Bahrain,Muharraq,Jamaldin Al Afghani Avenue,26.2580033,50.6172772,,,,0,,openstreetmap
Roundabout Cafeteria,Bahrain,Muharraq,Al Khalifa Avenue,26.2571902,50.6170299,,,,0,,openstreetmap
Sabar Ayoob,Bahrain,Muharraq,Al Khalifa Avenue,26.2559601,50.6172759,,,,0,,openstreetmap
Spicy Sauce,Bahrain,Muharraq,Al Khalifa Avenue,26.2558328,50.6173693,,,,0,,openstreetmap
Breakfast & Dinner Cafeteria,Bahrain,Muharraq,Al Khalifa Avenue,26.2555206,50.6176194,,,,0,,openstreetmap
Fareeq Bin Aqool,Bahrain,Muharraq,Al Khalifa Avenue,26.2538021,50.6184484,,,,0,,openstreetmap
Ahmed Al Ansari Restaurant,Bahrain,Muharraq,Al Khalifa Avenue,26.2514394,50.6169546,,,,0,,openstreetmap
Qassr Alsadf,Bahrain,Muharraq,Al Khalifa Avenue,26.2512691,50.6167449,,,,0,,openstreetmap
Al-Ezz Gate Cafeteria,Bahrain,Muharraq,Shaikh Isa Avenue,26.2563245,50.6132197,,,,0,,openstreetmap
Asid Restaurant1,Bahrain,Muharraq,Shaikh Isa Avenue,26.2566479,50.6131952,,,,0,,openstreetmap
Um Raham Banquets,Bahrain,Muharraq,Shaikh Isa Avenue,26.2586678,50.6142971,,,,0,,openstreetmap
Albatheeth Krak & Samboosa,Bahrain,Muharraq,601,26.2589397,50.6151683,,,,0,,openstreetmap
Ramah Sandwiches,Bahrain,Muharraq,601,26.2589518,50.6152458,,,,0,,openstreetmap
Taj Al Karak,Bahrain,Muharraq,Shaikh Isa Avenue,26.2501603,50.6152023,,,,0,,openstreetmap
Al Majalis Alsharqiya Banquets,Bahrain,Muharraq,Shaikh Isa Avenue,26.2503736,50.6150529,,,,0,,openstreetmap
Al Mattar Shawarma,Bahrain,Muharraq,Al-Mahmood Avenue,26.2355588,50.6554858,,,,0,,openstreetmap
Sambosa Magic Karak,Bahrain,Muharraq,Al-Mahmood Avenue,26.2355997,50.655488,,,,0,,openstreetmap
Burger Gate,Bahrain,Muharraq,Al-Mahmood Avenue,26.236702,50.6554887,,,,0,,openstreetmap
Show Piece Restaurant,Bahrain,Muharraq,,26.2393008,50.6554532,,,,0,,openstreetmap
Rosella,Bahrain,Muharraq,Hatim Al Taie Avenue,26.2453256,50.6523038,,,,0,,openstreetmap
دجاج كنتاكي,Bahrain,Muharraq,,26.2387593,50.6511183,,,,0,,openstreetmap
Rass al Raja Cafeteria,Bahrain,Muharraq,Shaikh Isa Avenue,26.2552091,50.6134422,,,,0,,openstreetmap
Crispy & Spicy Cafeteria,Bahrain,Muharraq,Shaikh Isa Avenue,26.2555407,50.6133695,,,,0,,openstreetmap
Alosra,Bahrain,Muharraq,Sheik Mohammed Bin Salman Avenue,26.2607172,50.6110226,,,,0,,openstreetmap
Kwality Karak Tea,Bahrain,Muharraq,Sheik Mohammed Bin Salman Avenue,26.260514,50.6099825,,,,0,,openstreetmap
Masallah Village,Bahrain,Muharraq,Sheik Mohammed Bin Salman Avenue,26.2608897,50.6126876,,,,0,,openstreetmap
Abu Rageb,Bahrain,Muharraq,Sheik Mohammed Bin Salman Avenue,26.2606681,50.6112629,,,,0,,openstreetmap
Kharian Cafeteria,Bahrain,Muharraq,Sheik Mohammed Bin Salman Avenue,26.2605598,50.6108189,,,,0,,openstreetmap
Fatima Ahmed Abdulla Hasan,Bahrain,Muharraq,Sheik Mohammed Bin Salman Avenue,26.2603963,50.6099187,,,,0,,openstreetmap
Aldihriaz Gate Cafeteria,Bahrain,Muharraq,Abdul Rahman Al Fadhel Avenue,26.2474256,50.6141364,,,,0,,openstreetmap
TRABZON ISTANBUL RESTAURANT,Bahrain,Muharraq,Abdul Rahman Al Fadhel Avenue,26.246913,50.6130124,,,,0,,openstreetmap
Broast Turko,Bahrain,Muharraq,Abdul Rahman Al Fadhel Avenue,26.2468187,50.6128758,,,,0,,openstreetmap
Kishkash Banquets,Bahrain,Muharraq,Abdul Rahman Al Fadhel Avenue,26.2465635,50.6124835,,,,0,,openstreetmap
Bu Saad Cafe,Bahrain,Muharraq,Abdul Rahman Al Fadhel Avenue,26.2462086,50.6119142,,,,0,,openstreetmap
Pancham Restaurant,Bahrain,Muharraq,Abdul Rahman Al Fadhel Avenue,26.2459336,50.6113918,,,,0,,openstreetmap
Abu Waleed Pizza,Bahrain,Muharraq,Abdul Rahman Al Fadhel Avenue,26.2459139,50.6112667,,,,0,,openstreetmap
Bu Saeed Cafeteria,Bahrain,Muharraq,Avenue 10,26.2502308,50.6081805,,,,0,,openstreetmap
Lail Alrawabi Restaurat & Grills,Bahrain,Muharraq,Shaik Abdulla Bin Hamad Avenue,26.2469955,50.6099091,,,,0,,openstreetmap
New Lahore Restaurant,Bahrain,Muharraq,Avenue 10,26.2471115,50.6097716,,,,0,,openstreetmap
Abul Houl Sandwiches,Bahrain,Muharraq,Avenue 10,26.2471571,50.60974,,,,0,,openstreetmap
Tandoori,Bahrain,Muharraq,Avenue 10,26.2471941,50.609707,,,,0,,openstreetmap
Al Jazeersa Roaster,Bahrain,Muharraq,Avenue 10,26.247342,50.6095558,,,,0,,openstreetmap
Tea Pots,Bahrain,Muharraq,Abdul Rahman Al Fadhel Avenue,26.2464366,50.6125386,,,,0,,openstreetmap
Ayam Zaman Cafeteria,Bahrain,Muharraq,Abdul Rahman Al Fadhel Avenue,26.2462607,50.6123259,,,,0,,openstreetmap
Maryan Cafeteria,Bahrain,Muharraq,Shaikh Abdulla Bin Hamad Avenue,26.2539944,50.6141607,,,,0,,openstreetmap
Ajeaha Sandwiches & Juice,Bahrain,Muharraq,Shaikh Abdulla Bin Hamad Avenue,26.2560883,50.6168614,,,,0,,openstreetmap
Khadija Restaurant,Bahrain,Muharraq,Shaikh Abdulla Bin Hamad Avenue,26.2559091,50.6165361,,,,0,,openstreetmap
Falafel Canadian Tower,Bahrain,Muharraq,Shaikh Abdulla Bin Hamad Avenue,26.2546469,50.6155392,,,,0,,openstreetmap
Al-Mattar Corner Shawarma,Bahrain,Muharraq,Abdul Rahman Al Fadhel Avenue,26.2503999,50.6187487,,,,0,,openstreetmap
True Burger,Bahrain,Muharraq,Abdul Rahman Al Fadhel Avenue,26.2506206,50.6188137,,,,0,,openstreetmap
Alaa Karak,Bahrain,Muharraq,Abdul Rahman Al Fadhel Avenue,26.2509667,50.6189534,,,,0,,openstreetmap
Fish Al-Hoot,Bahrain,Muharraq,Abdul Rahman Al Fadhel Avenue,26.2579243,50.6188742,,,,0,,openstreetmap
Desi Masala Grills,Bahrain,Muharraq,Avenue 1,26.2617217,50.6181703,,,,0,,openstreetmap
Saudi Broasted,Bahrain,Muharraq,Abdul Rahman Al Fadhel Avenue,26.2580037,50.618792,,,,0,,openstreetmap
Terra,Bahrain,Muharraq,Avenue 1,26.2600271,50.6196435,,,,0,,openstreetmap
Sambosa,Bahrain,Muharraq,Avenue 1,26.2614709,50.6184803,,,,0,,openstreetmap
Al Ehsan Cafeteria,Bahrain,Muharraq,Avenue 1,26.2617722,50.6181245,,,,0,,openstreetmap
BZY Burger,Bahrain,Muharraq,Avenue 1,26.2617865,50.618099,,,,0,,openstreetmap
Vitamin K,Bahrain,Muharraq,Avenue 1,26.2618666,50.617997,,,,0,,openstreetmap
Felfela,Bahrain,Muharraq,Avenue 1,26.2618924,50.617964,,,,0,,openstreetmap
Radishah,Bahrain,Muharraq,Abdul Rahman Al Fadhel Avenue,26.2526603,50.6192292,,,,0,,openstreetmap
Al Mehwar Banquet,Bahrain,Muharraq,Abdul Rahman Al Fadhel Avenue,26.2578756,50.6186801,,,,0,,openstreetmap
Hum Hum,Bahrain,Muharraq,Avenue 1,26.2618864,50.6175086,,,,0,,openstreetmap
Groppi,Bahrain,Muharraq,Shaik Hamad Avenue,26.2519823,50.6135283,,,,0,,openstreetmap
Sam Cafeteria,Bahrain,Muharraq,Shaik Hamad Avenue,26.2514818,50.6117454,,,,0,,openstreetmap
Mutwali Mathai,Bahrain,Muharraq,Shaik Hamad Avenue,26.2521757,50.6136219,,,,0,,openstreetmap
طوش طوشين,Bahrain,Muharraq,,26.262538,50.6174307,97377474444.0,,,0,,openstreetmap
Al Kheef Grills,Bahrain,Muharraq,Dair Avenue,26.2863625,50.6270332,,,,0,,openstreetmap
Um Mohamed Kitchen,Bahrain,Muharraq,Dair Avenue,26.2864259,50.6270267,,,,0,,openstreetmap
Bint Aldeera Restaurant,Bahrain,Muharraq,Dair Avenue,26.2864887,50.627041,,,,0,,openstreetmap
Arbil Restaurant,Bahrain,Muharraq,Busaiteen Avenue,26.2702224,50.6091778,,,,0,,openstreetmap
Al Dusaiteen,Bahrain,Muharraq,2725,26.2693288,50.6089725,,,,0,,openstreetmap
Su Alsham,Bahrain,Muharraq,Busaiteen Avenue,26.2681332,50.6086947,,,,0,,openstreetmap
Sicily,Bahrain,Muharraq,Busaiteen Avenue,26.2680035,50.6085976,,,,0,,openstreetmap
Shawarma Zawyat Almumtaz,Bahrain,Muharraq,Busaiteen Avenue,26.2659095,50.6082975,,,,0,,openstreetmap
Mr. Sandwich,Bahrain,Muharraq,Busaiteen Avenue,26.2646294,50.6090163,,,,0,,openstreetmap
Jenan Juice & Snacks,Bahrain,Muharraq,Busaiteen Avenue,26.2633957,50.6097318,,,,0,,openstreetmap
Galali Gate Grills,Bahrain,Muharraq,Busaiteen Avenue,26.2631583,50.6098226,,,,0,,openstreetmap
Shabab Samahij Falafeel,Bahrain,Muharraq,Avenue 19,26.2823165,50.6335011,,,,0,,openstreetmap
Limdalal Restaurant,Bahrain,Muharraq,Shaik Khalifa Bin Mohammed Avenue,26.2648644,50.6077479,,,,0,,openstreetmap
Ten Stars Restaurant,Bahrain,Muharraq,Shaik Khalifa Bin Mohammed Avenue,26.2667751,50.6073891,,,,0,,openstreetmap
Shawarma Land,Bahrain,Muharraq,Avenue 11,26.2721782,50.6081101,,,,0,,openstreetmap
Al Mango,Bahrain,Muharraq,Avenue 11,26.2721264,50.6074738,,,,0,,openstreetmap
Tea Time,Bahrain,Muharraq,Avenue 11,26.2719903,50.6057597,,,,0,,openstreetmap
Burger 63,Bahrain,Muharraq,Avenue 11,26.2718934,50.6046883,,,,0,,openstreetmap
Baneen Sandwiches & Falafel,Bahrain,Muharraq,Avenue 7,26.270902,50.6095399,,,,0,,openstreetmap
Fabin Cafeteria,Bahrain,Muharraq,Shaik Khalifa Bin Mohammed Avenue,26.2644959,50.6076089,,,,0,,openstreetmap
Crispy Spicy,Bahrain,Muharraq,Shaik Khalifa Bin Mohammed Avenue,26.2661809,50.6073795,,,,0,,openstreetmap
Broken Egg,Bahrain,Muharraq,Avenue 11,26.2719376,50.6075796,,,,0,,openstreetmap
Sultan Pasha,Bahrain,Muharraq,Avenue 11,26.2716001,50.6047343,,,,0,,openstreetmap
Round Table Pizza,Bahrain,Muharraq,Avenue 11,26.2718177,50.6069394,,,,0,,openstreetmap
Food World,Bahrain,Muharraq,2607,26.2746516,50.6102463,,,,0,,openstreetmap
Mr. Shawi,Bahrain,Muharraq,2607,26.2745605,50.6100543,,,,0,,openstreetmap
Pappa Roti,Bahrain,Muharraq,Avenue 11,26.2715822,50.6045303,,,,0,,openstreetmap
Alsabagh Roaster,Bahrain,Muharraq,Al-Tijar Avenue,26.2489266,50.6102707,,,,0,,openstreetmap
Tanjah Restaurant,Bahrain,Muharraq,Al-Tijar Avenue,26.2485843,50.6104452,,,,0,,openstreetmap
Wafoy Restaurant,Bahrain,Muharraq,Abu Maher Avenue,26.2482836,50.6114668,,,,0,,openstreetmap
Yabilah Hamburger,Bahrain,Muharraq,1601,26.2445766,50.6157109,,,,0,,openstreetmap
Asrar al Dhiyafa Fresh Juice,Bahrain,Muharraq,1601,26.2449003,50.6160849,,,,0,,openstreetmap
Reema Bawahi,Bahrain,Muharraq,1601,26.244945,50.616149,,,,0,,openstreetmap
Raihana Sandwiches,Bahrain,Muharraq,Shaikh Isa Avenue,26.2479629,50.6173993,,,,0,,openstreetmap
Elite Grill Restaurant,Bahrain,Muharraq,Shaikh Isa Avenue,26.2486411,50.6166463,,,,0,,openstreetmap
Share Altojar Cafeterial,Bahrain,Muharraq,Al-Tijar Avenue,26.248788,50.6105096,,,,0,,openstreetmap
Armenia Grill & Sandwiches,Bahrain,Muharraq,Rashid Alzayani Avenue,26.2486127,50.6111199,,,,0,,openstreetmap
Al Jeresi Cafeteria,Bahrain,Muharraq,1601,26.2444181,50.615267,,,,0,,openstreetmap
